# Pathway	COAD_noFFPEOnlyPrimaryNoRiboZeroG_right_72random_15_Abundance
UNMAPPED	4807426.1955742724
UNINTEGRATED	1526235.3245756419
UNINTEGRATED|g__Escherichia.s__Escherichia_coli	1005907.7059610770
UNINTEGRATED|unclassified	342690.1212606381
UNINTEGRATED|g__Cutibacterium.s__Cutibacterium_acnes	54421.3976102485
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)	2249.8700763123
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Escherichia.s__Escherichia_coli	2010.4590695994
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|unclassified	239.3716528567
PWY-7111: pyruvate fermentation to isobutanol (engineered)	1345.8802446260
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Escherichia.s__Escherichia_coli	1278.2433002755
PWY-7111: pyruvate fermentation to isobutanol (engineered)|unclassified	108.7483164923
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	1194.3248718620
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Escherichia.s__Escherichia_coli	1124.9507791107
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|unclassified	59.7249124950
VALSYN-PWY: L-valine biosynthesis	1194.3248718620
VALSYN-PWY: L-valine biosynthesis|g__Escherichia.s__Escherichia_coli	1124.9507791107
VALSYN-PWY: L-valine biosynthesis|unclassified	59.7249124950
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I	1166.8685676846
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Escherichia.s__Escherichia_coli	1104.7492802031
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|unclassified	52.6536220970
P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate	1096.5001704504
P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate|g__Escherichia.s__Escherichia_coli	991.9852901131
P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate|unclassified	52.5468354512
SALVADEHYPOX-PWY: adenosine nucleotides degradation II	1083.2895911935
SALVADEHYPOX-PWY: adenosine nucleotides degradation II|g__Escherichia.s__Escherichia_coli	1016.6154106550
