# Pathway	COAD_noFFPEOnlyPrimaryNoRiboZeroG_mutation_burden_low_95random_31_Abundance
UNMAPPED	7111585.3070903206
UNINTEGRATED	1141687.2395994202
UNINTEGRATED|g__Escherichia.s__Escherichia_coli	780629.5045048273
UNINTEGRATED|unclassified	197123.7770259896
UNINTEGRATED|g__Cutibacterium.s__Cutibacterium_acnes	18158.3476165203
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)	1621.5401914101
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Escherichia.s__Escherichia_coli	1347.7967320722
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|unclassified	234.7132280691
PWY-7111: pyruvate fermentation to isobutanol (engineered)	957.2117650277
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Escherichia.s__Escherichia_coli	884.9314150551
PWY-7111: pyruvate fermentation to isobutanol (engineered)|unclassified	81.0132555205
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	830.2121964973
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Escherichia.s__Escherichia_coli	789.0034379476
VALSYN-PWY: L-valine biosynthesis	830.2121964973
VALSYN-PWY: L-valine biosynthesis|g__Escherichia.s__Escherichia_coli	789.0034379476
VALSYN-PWY: L-valine biosynthesis|unclassified	55.1226406999
P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate	789.8911654911
P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate|g__Escherichia.s__Escherichia_coli	733.9038352138
P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate|unclassified	37.6282008529
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I	773.0136026707
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Escherichia.s__Escherichia_coli	691.0930903400
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|unclassified	69.4657386366
ORNDEG-PWY: superpathway of ornithine degradation	728.2337755865
ORNDEG-PWY: superpathway of ornithine degradation|g__Escherichia.s__Escherichia_coli	661.9624972478
ORNDEG-PWY: superpathway of ornithine degradation|unclassified	80.5138728242
SALVADEHYPOX-PWY: adenosine nucleotides degradation II	693.9954514055
SALVADEHYPOX-PWY: adenosine nucleotides degradation II|g__Escherichia.s__Escherichia_coli	626.3626442048
SALVADEHYPOX-PWY: adenosine nucleotides degradation II|unclassified	48.3618531126
PWY-1042: glycolysis IV	673.7962023996
PWY-1042: glycolysis IV|g__Escherichia.s__Escherichia_coli	613.9331537301
PWY-1042: glycolysis IV|unclassified	31.3907783856
PWY-5913: partial TCA cycle (obligate autotrophs)	624.2924601295
PWY-5913: partial TCA cycle (obligate autotrophs)|g__Escherichia.s__Escherichia_coli	554.7389616247
PWY-5913: partial TCA cycle (obligate autotrophs)|unclassified	68.3916991660
PWY-5695: inosine 5'-phosphate degradation	623.2808122504
PWY-5695: inosine 5'-phosphate degradation|g__Escherichia.s__Escherichia_coli	563.9508417000
PWY-5695: inosine 5'-phosphate degradation|unclassified	52.7280713184
PWY-6608: guanosine nucleotides degradation III	623.2808122504
PWY-6608: guanosine nucleotides degradation III|g__Escherichia.s__Escherichia_coli	563.9508417000
PWY-6608: guanosine nucleotides degradation III|unclassified	50.5223600652
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I	613.1919114068
