# Pathway	COAD_noFFPEOnlyPrimaryNoRiboZeroG_right_50random_20_Abundance
UNMAPPED	4087414.5053073862
UNINTEGRATED	871491.3818320147
UNINTEGRATED|g__Escherichia.s__Escherichia_coli	578462.9484318777
UNINTEGRATED|unclassified	160248.9737928955
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)	1253.2596517986
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Escherichia.s__Escherichia_coli	1047.9775159233
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|unclassified	204.6801405091
PWY-7111: pyruvate fermentation to isobutanol (engineered)	747.0910309687
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Escherichia.s__Escherichia_coli	662.3459343647
PWY-7111: pyruvate fermentation to isobutanol (engineered)|unclassified	82.3213996678
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I	645.8274299562
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Escherichia.s__Escherichia_coli	602.4621505966
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|unclassified	42.9364047257
P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate	633.3794903354
P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate|g__Escherichia.s__Escherichia_coli	552.4801578677
P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate|unclassified	53.2950965890
SALVADEHYPOX-PWY: adenosine nucleotides degradation II	633.2242404326
SALVADEHYPOX-PWY: adenosine nucleotides degradation II|g__Escherichia.s__Escherichia_coli	590.0825034805
SALVADEHYPOX-PWY: adenosine nucleotides degradation II|unclassified	25.1167159557
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	590.8008638432
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Escherichia.s__Escherichia_coli	560.4686071635
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|unclassified	84.0068677742
VALSYN-PWY: L-valine biosynthesis	590.8008638432
VALSYN-PWY: L-valine biosynthesis|g__Escherichia.s__Escherichia_coli	560.4686071635
VALSYN-PWY: L-valine biosynthesis|unclassified	84.0068677742
PWY-1042: glycolysis IV	587.7474158578
PWY-1042: glycolysis IV|g__Escherichia.s__Escherichia_coli	492.9226710596
PWY-1042: glycolysis IV|unclassified	47.7774162198
PWY-5695: inosine 5'-phosphate degradation	578.5103223871
PWY-5695: inosine 5'-phosphate degradation|g__Escherichia.s__Escherichia_coli	545.3749154544
PWY-5695: inosine 5'-phosphate degradation|unclassified	58.5763230783
PWY-6608: guanosine nucleotides degradation III	578.5103223871
PWY-6608: guanosine nucleotides degradation III|g__Escherichia.s__Escherichia_coli	545.3749154544
PWY-6608: guanosine nucleotides degradation III|unclassified	37.0273513451
ORNDEG-PWY: superpathway of ornithine degradation	569.8618950910
ORNDEG-PWY: superpathway of ornithine degradation|g__Escherichia.s__Escherichia_coli	492.9188476048
ORNDEG-PWY: superpathway of ornithine degradation|unclassified	76.6686853844
CALVIN-PWY: Calvin-Benson-Bassham cycle	549.9427641692
CALVIN-PWY: Calvin-Benson-Bassham cycle|g__Escherichia.s__Escherichia_coli	508.5073932663
