File ID	File Name	File ID2	File Name2	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
a198a3ba-d600-472e-aae0-67860b3b6935	741fbacf-3694-46ef-b16f-66bac6ee0452_gdc_realn_rehead.bam	bb4ae3c1-cc55-4e80-9af9-a6505fff5e27	6e6eeb9a-6437-4e53-9fb7-c283f738d3bd.rna_seq.genomic.gdc_realn.bam	Sequencing Reads	Aligned Reads	TCGA-BRCA	TCGA-LL-A73Y	TCGA-LL-A73Y-01A	Primary Tumor
f2f7c7c0-43e8-45fb-8ea8-bdb5e6ac7da7	deb1c4dd-d307-49fb-98c4-34497dbc9e97_gdc_realn_rehead.bam	e6f81eca-dd04-456e-90c7-b6f90b0b5527	22c2b380-799e-4fad-ae38-46a916c592d5.rna_seq.genomic.gdc_realn.bam	Sequencing Reads	Aligned Reads	TCGA-BRCA	TCGA-E2-A1IU	TCGA-E2-A1IU-01A	Primary Tumor
d90c9eef-4660-4312-96d0-0f8321b678a7	086b8249-f7e3-4348-a0e5-0eb87cbb50a6_gdc_realn_rehead.bam	d5f66e3e-442d-417f-9c56-4350e3e0ea63	27d65db7-ad41-46f0-bfd1-61c693073e19.rna_seq.genomic.gdc_realn.bam	Sequencing Reads	Aligned Reads	TCGA-BRCA	TCGA-EW-A6SA	TCGA-EW-A6SA-01A	Primary Tumor
5d5528ff-32ac-40d8-8640-15ff04feb41a	a20d08b4-e1c6-4a82-8ebf-56be0ffc9f6b_gdc_realn_rehead.bam	1eceb0b4-56af-4500-ba49-a874647776f0	341e11ea-c1b6-4d66-999c-76ebb9c8b342.rna_seq.genomic.gdc_realn.bam	Sequencing Reads	Aligned Reads	TCGA-BRCA	TCGA-AO-A03U	TCGA-AO-A03U-01B	Primary Tumor
2102e6ec-dc7e-4933-9fa5-d5ea00a1a790	977fe270-dca6-4109-a7b7-6fc17e8ea1ec_gdc_realn_rehead.bam	b0e942da-55b7-41fa-93d8-bdc2bfe7a95f	36e48370-2ecb-4d2c-91ab-7f7426647213.rna_seq.genomic.gdc_realn.bam	Sequencing Reads	Aligned Reads	TCGA-BRCA	TCGA-E9-A1NH	TCGA-E9-A1NH-01A	Primary Tumor
a3b3cf77-5f44-4612-b6a4-43a95c49055f	3ea7a215-73c4-4e11-94f3-2aa03325349e_gdc_realn_rehead.bam	68dce02c-1510-4259-891a-230bc42bab76	c9dffad1-99e8-40b8-8954-1e50b98a1a55.rna_seq.genomic.gdc_realn.bam	Sequencing Reads	Aligned Reads	TCGA-BRCA	TCGA-BH-A1EY	TCGA-BH-A1EY-01A	Primary Tumor
03bd0630-d0a3-4f6f-b7b7-a4068f6073f7	aa6a5132-b44f-4ddf-ac60-ef63787e518c_gdc_realn_rehead.bam	e5ad5770-4ab8-42b0-8f60-5a0a9460bba2	0af3ed73-d962-492c-9dc5-85247cd3de03.rna_seq.genomic.gdc_realn.bam	Sequencing Reads	Aligned Reads	TCGA-BRCA	TCGA-AO-A1KS	TCGA-AO-A1KS-01A	Primary Tumor
a2f35df5-5ee6-4c8e-ba61-d187651ae9df	3af3b909-5dec-450d-a229-a970ace09f2a_gdc_realn_rehead.bam	9eaf06c8-71f2-4733-a001-07c9a0d7078f	691c297b-b48d-4e65-84d4-cb4fcdf03fc0.rna_seq.genomic.gdc_realn.bam	Sequencing Reads	Aligned Reads	TCGA-BRCA	TCGA-B6-A0I6	TCGA-B6-A0I6-01A	Primary Tumor
c261b894-7237-4d89-b361-b75087f8cc99	c89b1802-f617-46a0-8e28-af4e42e060f9_gdc_realn_rehead.bam	45692de1-afdf-469d-b647-b1375c22efde	db998871-01ff-4a39-ba06-fe3fb1183584.rna_seq.genomic.gdc_realn.bam	Sequencing Reads	Aligned Reads	TCGA-BRCA	TCGA-E9-A229	TCGA-E9-A229-01A	Primary Tumor
5f03d92d-a7ca-40b5-882c-3a076de59eaf	621080db-23c4-4f16-83aa-44ebc0a147b1_gdc_realn_rehead.bam	12043a2d-1d6e-4339-b26d-f4f8e05efb83	fead73ce-2e66-4647-8b6c-b8bbdaaf30fe.rna_seq.genomic.gdc_realn.bam	Sequencing Reads	Aligned Reads	TCGA-BRCA	TCGA-D8-A27H	TCGA-D8-A27H-01A	Primary Tumor
